"Dijkringnr";"AsciiGridCode";"Label";"MinSchade";"ExpSchade";"MaxSchade";"ExpSlachtoffers"
"1";1;"Schiermonnikoog";50;90;90;1
"10";10;"Mastenbroek";750;1500;1500;4
"11";11;"IJsseldelta";600;1200;1200;7
"12";12;"Wieringen";1550;3100;3100;15
"13";13;"Noord-Holland";1800;3600;36300;150
"13-a";113;"IJburg";0;227;0;10
"13-b";213;"Marken";0;30;0;5
"14";14;"Zuid-Holland";280;18600;37000;503
"15";15;"Lopiker- en Krimpenerwaard";2600;5100;10200;106
"16";16;"Alblasserwaard en Vijfheerenlanden";10700;21300;21300;119
"17";17;"IJsselmonde";5100;10100;20200;251
"18";18;"Pernis";300;500;500;3
"19";19;"Rozenburg";700;1400;1400;10
"2";2;"Ameland";150;300;300;3
"20";20;"Voorne-Putten";4500;9000;9000;169
"21";21;"Hoeksche Waard";1600;3200;3200;37
"22";22;"Eiland van Dordrecht";4500;9000;9000;74
"23";23;"Biesbosch";30;60;60;0
"24";24;"Land van Altena";1200;2400;2400;31
"25";25;"Goeree-Overflakkee";1100;2100;4100;52
"26";26;"Schouwen Duivenland";1300;2500;5000;37
"27";27;"Tholen en St. Philipsland";700;1300;2500;10
"28";28;"Noord Beveland";200;400;700;7
"29";29;"Walcheren";4000;8000;16000;124
"3";3;"Terschelling";100;200;200;2
"30";30;"Zuid Beveland west";2700;5300;10500;79
"31";31;"Zuid Beveland oost";1200;2400;3400;21
"32";32;"Zeeuwsch Vlaanderen";500;900;17700;20
"33";33;"Kreekrakpolder";0;15;30;0
"34";34;"West-Brabant";2800;5600;11200;97
"34-a";134;"Geertruidenberg";100;200;200;0
"35";35;"Donge";1800;3500;3500;52
"36";36;"Land van Heusden/de Maaskant";60;3800;7500;35
"36-a";136;"Keent";0;0;0;0
"37";37;"Nederhemert";0;3;3;0
"38";38;"Bommelerwaard";1400;2800;2800;14
"39";39;"Alem";20;30;30;0
"4";4;"Vlieland";10;20;20;0
"40";40;"Heerewaarden";20;40;40;0
"41";41;"Land van Maas en Waal";2600;5200;5700;57
"42";42;"Ooij en Millingen";500;1000;1000;3
"43";43;"Betuwe, Tieler- en Culemborgerwaarden";4800;13800;19800;80
"44";44;"Kromme Rijn";2400;5500;17000;71
"45";45;"Gelderse Vallei";900;5400;9000;134
"46";46;"Eempolder";50;100;100;3
"47";47;"Arnhemse- en Velpsebroek";400;700;700;6
"48";48;"Rijn en IJssel";1600;4900;6600;44
"49";49;"IJsselland";200;400;400;2
"5";5;"Texel";1200;2300;2300;13
"50";50;"Zutphen";900;1800;1800;5
"51";51;"Gorssel";200;300;300;1
"52";52;"Oost Veluwe";400;2100;3400;11
"53";53;"Salland";1900;5400;8700;23
"6";6;"Friesland en Groningen";55;600;1200;165
"7";7;"Noordoostpolder";170;2100;4200;43
"8";8;"Flevoland";3500;7000;19000;134
"9";9;"Vollenhove";1300;2650;5300;10
